Major, Early Career Pay, Mid-Career Pay, High Meaning
Accounting & Taxation,55600.0,107800.0,41%
Building Construction (BC),67200.0,107800.0,52%
International & Comparative Politics,45700.0,107800.0,53%
Civil & Environmental Engineering,65300.0,107500.0,67%
Business Information Systems,65000.0,107400.0,43%
Financial Economics,63300.0,107200.0,41%
Sales & Business Marketing,55900.0,107200.0,51%
Plastics Engineering,68400.0,107100.0,58%
Information Technology Management,63400.0,107000.0,48%
Polymer Science & Engineering,74500.0,106900.0,-
Informatics,70300.0,106800.0,42%
Computer Management Information Systems (CMIS),55700.0,106600.0,47%
Information Systems (IS),63900.0,106600.0,44%
Agricultural Economics,55600.0,106300.0,58%
Data Processing,65600.0,106200.0,45%
European Studies,47500.0,106100.0,46%
Biosystems Engineering,64700.0,106000.0,74%
Nuclear Engineering Technology (NET),83500.0,106000.0,62%
Economics & Political Science,57100.0,105700.0,47%
Global & International Studies,50000.0,105700.0,46%
Organic Chemistry,44500.0,105600.0,-
Industrial Hygiene,58600.0,105500.0,55%
Safety Science,62400.0,105500.0,-
Commerce,66800.0,105400.0,40%
Rhetoric,51600.0,105400.0,44%
Business Computer Information Systems (BCIS),64000.0,105300.0,40%
Finance,60200.0,105200.0,42%
Plastics Engineering Technology,66900.0,105100.0,28%
Molecular Biology,54100.0,105000.0,67%
Environmental Engineering,62600.0,104800.0,62%
International Management,54100.0,104800.0,51%
Computer Information Systems,59400.0,104700.0,42%
Corporate Finance,63600.0,104300.0,43%
Genetics,52200.0,104100.0,72%
International Business,55300.0,104100.0,39%
Agricultural Engineering (AE),63100.0,104000.0,63%
Consumer Economics,53700.0,103800.0,40%
Finance & Marketing,56800.0,103700.0,46%
Computer Information Systems (CIS),60500.0,103500.0,47%
Business Finance,57200.0,103300.0,42%
Psychobiology,49600.0,103100.0,65%
Strategic Management,66200.0,103100.0,47%
Construction Trades,61900.0,103100.0,48%
Operations Management (OM),61500.0,103000.0,45%
Entrepreneurship & Leadership,57100.0,102900.0,43%
Electrical Engineering Technology (EET),66300.0,102800.0,47%
Computer Science & Information Technology,66000.0,102700.0,50%
Food Marketing,56300.0,102700.0,24%
International Marketing,59000.0,102600.0,22%
Network Engineering,60700.0,102600.0,55%
Building Construction Management,61300.0,102400.0,63%
Engineering Technology (ET),58400.0,102300.0,47%
International Relations,52800.0,102200.0,49%
Management & Finance,56800.0,102200.0,59%
Information Security,66400.0,102200.0,48%
Business Operations,63500.0,102100.0,-
Industrial Management,57800.0,102000.0,53%
Architectural Engineering,65000.0,101900.0,58%
Hotel Administration,64900.0,101900.0,35%
Manufacturing,57600.0,101500.0,48%
Agricultural Economics & Business,54900.0,101400.0,56%
Web Development,56400.0,101300.0,46%
Aviation,54000.0,101200.0,48%
Telecommunications Management,55000.0,101200.0,42%
Property Management,55200.0,101000.0,47%
Comparative Literature,48100.0,100900.0,46%
Construction Science & Management,64700.0,100800.0,71%
Biotechnology,53100.0,100700.0,59%
Industrial & Labor Relations,69800.0,100600.0,44%
Real Estate,59900.0,100600.0,36%
Mechanical Engineering Technology (MET),64200.0,100400.0,48%
Labor Relations,53000.0,100300.0,41%
Electronics,57500.0,100200.0,63%
Biochemistry (BCH),50400.0,99900.0,62%
Politics,53000.0,99900.0,51%
Accounting & Auditing,57800.0,99800.0,45%
Chinese Language,54200.0,99600.0,43%
Information Science (IS),66300.0,99500.0,36%
East Asian Studies,49800.0,99400.0,42%
Accounting & Finance,59200.0,99300.0,45%
Network Security,62300.0,99300.0,50%
Information Technology (IT),59100.0,99200.0,46%
Aviation Management,50900.0,99100.0,58%
Occupational Health and Safety,59900.0,99100.0,69%
Agribusiness,50700.0,98900.0,53%
Business & Marketing,51000.0,98900.0,45%
Computer Engineering Technology (CET),63000.0,98900.0,47%
Computer Security,68100.0,98700.0,43%
Operations & Supply Chain Management,61300.0,98600.0,45%
Entomology,45900.0,98500.0,-
Music Production & Engineering,43100.0,98400.0,43%
Industrial Engineering Technology,67200.0,98400.0,53%
Logistics & Supply Chain Management,59000.0,98300.0,47%
Supply Chain Management,61700.0,98300.0,41%
Accounts,59800.0,98300.0,44%
Economics & Management,54400.0,98200.0,-
Environmental Policy Analysis & Planning,51000.0,98200.0,65%
Physical Therapy,55500.0,98200.0,88%
European History,52300.0,98000.0,47%
Robotics & Automation,66100.0,98000.0,63%
Geological Engineering,61700.0,97900.0,54%
Manufacturing Technology,59900.0,97900.0,46%
Chemistry,51600.0,97500.0,55%
Business Logistics & Transportation,56400.0,97400.0,44%
Food Science & Technology,53100.0,97300.0,49%
City & Regional Planning,51800.0,97200.0,70%
Civil Engineering Technology (CET),58300.0,97200.0,60%
Electronics Engineering Technology (EET),64300.0,97100.0,50%
English & Psychology,42600.0,97100.0,-
Finance & Banking,55300.0,97100.0,47%
Mechanical Design,60900.0,97100.0,45%
Applied Technology,55500.0,97000.0,62%
Marketing & Management,50000.0,96900.0,45%
Technical & Scientific Communication,50700.0,96800.0,37%
Financial Planning,54000.0,96600.0,63%
Organizational Behavior,57000.0,96600.0,51%
Marketing,51700.0,96600.0,40%
Dairy Science,51200.0,96200.0,68%
Project Management,56800.0,96200.0,58%
Government & International Politics (GVIP),51300.0,96100.0,49%
Latin American Studies,46700.0,96100.0,62%
Industrial Design (ID),55100.0,95900.0,41%
Web Design & Development,53100.0,95900.0,44%
Computing & Information Systems (CIS),58100.0,95800.0,40%
Electromechanical Engineering,70500.0,95800.0,55%
Industrial Technology (IT),62200.0,95800.0,50%
Information Technology (IT) & Systems,61100.0,95800.0,47%
Biopsychology,53300.0,95700.0,74%
Government & Politics,52400.0,95700.0,51%
Microbiology & Immunology,54900.0,95400.0,68%
Chemistry & Environmental Science,48200.0,95400.0,-
Interactive Media Design,54000.0,95300.0,38%
Risk Management,58500.0,95300.0,42%
Cell Biology,50100.0,95200.0,59%
Aeronautics,62800.0,95100.0,64%
Welding Engineering Technology,74700.0,95000.0,42%
Finance & Management Information Systems,63900.0,94800.0,-
Computer Science (CS) & Business,81100.0,94600.0,28%
Environmental Science & Policy,49500.0,94500.0,59%
Marketing & Communications,49600.0,94500.0,45%
Safety Management,60100.0,94500.0,70%
Business Technology Management,57400.0,94400.0,42%
Computer Networking Systems,55600.0,94400.0,49%
Biomedical Sciences,43600.0,94300.0,70%
Philosophy,52600.0,94300.0,41%
Sales & Marketing,52700.0,94300.0,48%
Manufacturing Engineering Technology,66000.0,94300.0,49%
Environmental Health & Safety,57600.0,94200.0,68%
Organizational Psychology,51200.0,94100.0,50%
Industrial Psychology,50000.0,94000.0,50%
Political Science,50700.0,94000.0,47%
Real Estate Development,57100.0,94000.0,-
Social Ecology,49000.0,93700.0,-
Risk Management & Insurance,59500.0,93600.0,46%
Radiation Therapy,68400.0,93400.0,90%
French Literature,46400.0,93300.0,50%
Occupational Therapy (OT),54100.0,93300.0,88%
Advertising,47200.0,93200.0,32%
Accounting,54800.0,93100.0,42%
Geology,50400.0,93000.0,54%
Strategic Communication,47100.0,93000.0,42%
