Major, Early Career Pay, Mid-Career Pay, High Meaning
Technology Teacher Education,47700.0,70400.0,57%
Educational Studies (ED),40300.0,70200.0,65%
Music,44300.0,70200.0,55%
Business Leadership,50100.0,70200.0,45%
Drafting & Design,51000.0,70100.0,69%
Plant Sciences,48000.0,70100.0,60%
Criminal Justice,42800.0,69800.0,56%
Web Design,49900.0,69800.0,25%
Graphic Design,45100.0,69700.0,37%
Nutrition,48100.0,69600.0,65%
Nutrition & Dietetics,50800.0,69600.0,72%
Missions,41300.0,69500.0,-
Dramatic Art,41400.0,69400.0,-
Fashion Marketing & Management,47700.0,69100.0,30%
Interdisciplinary Studies (IS),44600.0,68900.0,56%
Hospitality & Tourism,44200.0,68800.0,41%
Human Ecology,42100.0,68800.0,54%
Ornamental Horticulture,46000.0,68800.0,69%
Physical Therapist Assistant Studies,49900.0,68800.0,85%
Public Health (PH),46000.0,68800.0,69%
Art Therapy,41100.0,68600.0,80%
Dietetics,51300.0,68600.0,74%
Landscape Management,52300.0,68600.0,-
Applied Sociology,42200.0,68500.0,57%
Fine Arts,43200.0,68500.0,44%
Modern Language Spanish,43800.0,68500.0,52%
Women's Studies,45200.0,68500.0,59%
Social & Criminal Justice,44800.0,68500.0,59%
Animal Science,41200.0,68300.0,64%
New Media,46000.0,68300.0,33%
Textiles & Clothing,45100.0,68300.0,47%
Event Management,41700.0,68200.0,40%
Family & Consumer Science,42600.0,68000.0,59%
Speech-Language Pathology,44100.0,67900.0,70%
Technical Theatre,41000.0,67600.0,42%
Education,44100.0,67500.0,65%
Foods & Nutrition,47000.0,67500.0,68%
Recreation Management,42300.0,67500.0,58%
Business & Healthcare Management,46900.0,67300.0,69%
Agricultural Teacher Education,53500.0,67100.0,-
Music Composition,44000.0,66900.0,51%
Art,43400.0,66700.0,46%
Psychology & Sociology,42800.0,66700.0,53%
Drawing & Painting,42800.0,66600.0,48%
Nonprofit Management,42300.0,66300.0,79%
Small Business Management,47100.0,66200.0,38%
Behavioral Science,43000.0,66000.0,62%
Horticulture & Agronomy,52500.0,65900.0,-
Health Services Administration,42700.0,65800.0,63%
Multidisciplinary Studies,41800.0,65800.0,53%
Restaurant & Food Service Management,43900.0,65800.0,45%
Consumer Affairs,51000.0,65700.0,43%
Training and Development,52600.0,65600.0,-
Health & Exercise Science,41700.0,65600.0,67%
Electronic Media,45300.0,65600.0,37%
Environmental Resource Management,48700.0,65500.0,65%
Theatre Arts,43500.0,65300.0,51%
Applied Linguistics,46800.0,65200.0,44%
African American & African Studies,46400.0,65100.0,60%
Exercise & Sports Science,42600.0,65100.0,70%
General Studies,43600.0,65100.0,52%
Justice Studies,45300.0,65100.0,50%
Video Production,42800.0,65100.0,33%
Graphic Arts,42700.0,64900.0,41%
Physical Education Teaching,42200.0,64900.0,69%
Health Services Management,41600.0,64800.0,83%
Physical Education & Exercise Science,44100.0,64800.0,72%
Drawing,37400.0,64800.0,39%
Exercise Science,41400.0,64700.0,73%
Printmaking,38400.0,64300.0,40%
Sports Administration,43300.0,64300.0,47%
Theology,42800.0,64300.0,68%
Interior Design & Merchandising,43700.0,64200.0,37%
Recreation & Leisure Studies,40300.0,64200.0,60%
Human Development,43700.0,64100.0,64%
Music Industry,45800.0,64100.0,38%
Wildlife Management,39700.0,64100.0,49%
Supervision & Management,41700.0,64100.0,57%
Health & Wellness,40100.0,64000.0,70%
Culinary Arts & Food Service Management,41300.0,64000.0,50%
Mortuary Science,43500.0,64000.0,85%
Clinical Psychology,43000.0,63900.0,65%
Community Health Education,42600.0,63900.0,75%
Dance,45100.0,63900.0,62%
Speech Pathology,42800.0,63700.0,69%
Gender Studies,45500.0,63600.0,55%
Secondary English Teacher Education,42000.0,63600.0,64%
Photography,43800.0,63500.0,38%
English Teacher Education,43300.0,63100.0,57%
Paralegal Studies,39600.0,63100.0,50%
Social Studies Teacher Education,43400.0,63100.0,65%
Teaching English as a Second Language (ESL),42800.0,63000.0,73%
Music Teacher Education,42000.0,63000.0,62%
Health Promotion,42300.0,62800.0,69%
Recording Arts,44800.0,62800.0,48%
Photojournalism,41900.0,62600.0,59%
Recreation Administration,47000.0,62500.0,71%
Radio Broadcasting,46300.0,62400.0,33%
Sculpture,40300.0,62200.0,47%
Painting,40700.0,62000.0,44%
Psychology & Social Sciences,42600.0,62000.0,68%
Health & Physical Education Teaching,38700.0,61900.0,65%
Organizational Administration,45000.0,61800.0,-
Tourism Management,43100.0,61600.0,38%
Instrumental Music Teacher Education,41700.0,61600.0,65%
Emergency Medical Services (EMS),44200.0,61400.0,-
Community Health,45400.0,61300.0,72%
Health & Human Performance,38100.0,61100.0,68%
Music Therapy,43100.0,60700.0,93%
Social Services,39900.0,60500.0,82%
Rehabilitation Services,35800.0,60200.0,79%
Horticulture,43000.0,60100.0,59%
University Studies,42400.0,60000.0,49%
Church Ministries,40000.0,59900.0,79%
Communicative Disorders,47400.0,59800.0,73%
Social Science Teacher Education,45400.0,59800.0,-
Wildlife Biology,42900.0,59800.0,60%
Community Development,44600.0,59400.0,63%
Psychology & Human Services,35600.0,59400.0,-
Athletic Training,42100.0,59300.0,75%
Biblical Studies,40500.0,59000.0,72%
Biblical Studies & Practical Ministries,36400.0,58900.0,76%
Counseling Psychology,42700.0,58900.0,64%
Recreational Studies,42100.0,58900.0,69%
Teaching,42000.0,58900.0,72%
Home Economics,41800.0,58700.0,69%
Library & Information Science,48200.0,58700.0,48%
Human Development & Family Studies,40300.0,58600.0,66%
Tourism & Travel,42200.0,58600.0,43%
Landscape Design,49000.0,58500.0,63%
Ceramics,42200.0,58300.0,51%
Clinical Social Work (CSW),43500.0,58300.0,-
Parks & Recreation Management,42700.0,58300.0,56%
Pastoral Ministry,38700.0,58000.0,83%
Vocal Performance,42600.0,58000.0,65%
Art Teacher Education,40300.0,57500.0,62%
Bible Studies & Theology,40000.0,57500.0,67%
Forensic Accounting,48300.0,57200.0,48%
Communication Sciences & Disorders,43300.0,57100.0,76%
Legal Assistant Studies,38100.0,57100.0,38%
Special Education,41300.0,57000.0,76%
Conservation Biology,42800.0,56900.0,57%
Family Studies,39200.0,56800.0,68%
Christian Ministry,38100.0,56400.0,79%
Speech & Hearing,43300.0,56400.0,76%
Health and Human Services,43500.0,56300.0,65%
Musical Theatre,43500.0,56100.0,50%
History Teacher Education,47700.0,55600.0,46%
Developmental Psychology,38200.0,55000.0,-
Therapeutic Recreation,39500.0,54900.0,82%
Applied Behavioral Science,40500.0,54600.0,50%
Community & Human Services,42400.0,54600.0,80%
Social Work (SW),38600.0,54600.0,76%
Office Administration,38700.0,54500.0,65%
Ministry,36700.0,54300.0,81%
Family & Community Services,42200.0,54300.0,74%
Youth Ministry,37400.0,54200.0,76%
Elementary Education,40000.0,53800.0,69%
Voice & Opera,34500.0,53300.0,57%
Christian Education,38700.0,53200.0,82%
Conflict Resolution,44400.0,53200.0,50%
Baking & Pastry Arts,37500.0,53000.0,44%
Human Services Management,45600.0,53000.0,-
Hospitality & The Culinary Arts,38800.0,52900.0,-
Human Services (HS),38700.0,52500.0,71%
Counseling,39900.0,51700.0,78%
Recreational Therapy,38400.0,51600.0,84%
Child Development,37400.0,51400.0,73%
Educational Psychology,36900.0,51200.0,-
Middle School Education,41200.0,50800.0,73%
Mental Health Counseling,36100.0,50000.0,78%
Early Childhood & Elementary Education,38000.0,48400.0,77%
Equine Studies,35700.0,47100.0,50%
Addiction Studies,38000.0,47000.0,84%
Child & Family Studies,36400.0,46500.0,73%
Rehabilitation Counseling,39200.0,46400.0,-
Outdoor Education,37400.0,46300.0,52%
Early Childhood Education,36100.0,45400.0,78%
Mental Health,36900.0,45000.0,-
Medical Assisting,36000.0,44800.0,-
Metalsmithing,40000.0,40300.0,33%
